# y loss
-0.5803 0.0000
-0.5536 -0.0006
-0.5283 0.0000
-0.5040 0.0002
-0.4778 0.0003
-0.4521 -0.0002
-0.4258 0.0001
-0.3991 0.0001
-0.3752 0.0003
-0.3499 0.0003
-0.3241 0.0001
-0.2983 0.0002
-0.2723 0.0003
-0.2474 0.0011
-0.2216 0.0013
-0.1951 0.0007
-0.1828 0.0086
-0.1699 0.0199
-0.1575 0.0312
-0.1449 0.0526
-0.1312 0.0958
-0.1191 0.1351
-0.1069 0.1698
-0.0937 0.2292
-0.0807 0.2721
-0.0676 0.2938
-0.0542 0.3187
-0.0423 0.3185
-0.0290 0.2982
-0.0159 0.2532
-0.0037 0.1608
0.0100 0.0997
0.0224 0.0703
0.0346 0.0155
0.0481 0.0046
0.0605 0.0015
0.0723 0.0004
0.0861 0.0004
0.0980 0.0003
0.1108 0.0004
0.1243 0.0001
0.1362 0.0008
0.1494 0.0001
0.1626 0.0007
0.1876 0.0005
0.2134 0.0004
0.2393 -0.0002
0.2641 0.0000
0.2914 0.0011
0.3175 0.0005
0.3429 0.0007
0.3684 0.0007
0.3938 0.0006
0.4195 0.0005
0.4464 0.0002
0.4711 0.0002
0.4974 0.0001
0.5228 0.0005
0.5483 0.0012
0.5750 -0.0002
