x,y
0.00133838936744489,0.4978
0.00469153939984125,0.4681
0.00777417323549408,0.4558
0.0124936904863933,0.4451
0.0173172729635333,0.4389
0.0238861504074552,0.4383
0.0288965082620641,0.4356
0.0356586341136714,0.4332
0.042501582918293,0.4250
0.0494280229369665,0.4167
0.0564603602249573,0.4083
0.0636738535236454,0.4042
0.000825399605818058,0.8036
0.002456286078165,0.7993
0.00387465547757803,0.8009
0.00532660833093594,0.7980
0.00830504562112958,0.7788
0.0126042843172472,0.7503
0.0148021061429298,0.7360
0.0192852330040737,0.7185
0.0222261752182373,0.7148
0.0275631917133268,0.6829
0.0378721232905907,0.5782
0.048504321764147,0.5479
0.0557778274697748,0.5179
0.0632521453096024,0.4916

