x,y
-0.7226,0.0017
-0.6915,0.0026
-0.6630,0.0028
-0.6323,0.0030
-0.6026,0.0069
-0.5733,0.0099
-0.5428,0.0083
-0.5139,0.0097
-0.4844,0.0072
-0.4529,0.0160
-0.4240,0.0223
-0.3948,0.0175
-0.3793,0.0184
-0.3659,0.0215
-0.3509,0.0207
-0.3353,0.0253
-0.3207,0.0287
-0.3060,0.0244
-0.2897,0.0256
-0.2758,0.0247
-0.2610,0.0260
-0.2459,0.0328
-0.2311,0.0544
-0.2165,0.0813
-0.2008,0.0999
-0.1860,0.1321
-0.1718,0.1879
-0.1564,0.2490
-0.1411,0.2796
-0.1269,0.3330
-0.1115,0.3713
-0.0968,0.3812
-0.0820,0.3770
-0.0659,0.3379
-0.0513,0.2972
-0.0369,0.2455
-0.0210,0.1355
-0.0060,0.0696
0.0084,0.0385
0.0237,0.0097
0.0385,0.0029
0.0526,0.0015
0.0677,0.0013
0.0826,0.0006
0.0970,0.0000
0.1126,0.0008
0.1281,0.0008
0.1416,0.0011
0.1575,0.0005
0.1728,0.0010
0.2016,0.0010
0.2321,0.0011
0.2616,0.0009
0.2916,0.0015
0.3227,0.0016
0.3525,0.0012
0.3820,0.0015
0.4116,0.0018
0.4425,0.0015
0.4714,0.0015
