x,y
0.00133838936744492,0.37906976744186044
0.004691539399841,0.39069767441860465
0.007774173235494296,0.39069767441860465
0.01249369048639348,0.39069767441860465
0.017317272963533435,0.39069767441860465
0.023886150407455037,0.3953488372093023
0.028896508262064214,0.3953488372093023
0.03565863411367105,0.39767441860465114
0.04250158291829365,0.3930232558139535
0.04942802293696626,0.38372093023255816
0.056460360224957317,0.37906976744186044
0.06367385352364547,0.37906976744186044
0.000825399605818142,0.958139534883721
0.002456286078165343,0.8790697674418604
0.003874655477578,0.8488372093023255
0.00532660833093587,0.827906976744186
0.008305045621129177,0.7930232558139534
0.012604284317247354,0.7069767441860465
0.01480210614292933,0.6697674418604651
0.019285233004073964,0.6302325581395349
0.02222617521823726,0.6093023255813954
0.02756319171332699,0.5720930232558139
0.03787212329059013,0.5255813953488372
0.04850432176414726,0.48604651162790696
0.055777827469774085,0.4604651162790697
0.063252145309602695,0.44651162790697674
