# Deformed profile ogv1c_g0_c0.dat
# Params=[0.018903904855, 0.005001100785, -0.019851553186, 0.035368099959, -0.001303403534]
1.002978063969140049e-01 1.064502700371339428e+00
1.757615225590619945e-01 1.181254974912893996e+00
2.614922748424710064e-01 1.305266299439316047e+00
3.552489417698340146e-01 1.433617982474000740e+00
4.571889877532310242e-01 1.567002380488541347e+00
5.691382609599500153e-01 1.707810652070413049e+00
6.906188274284940087e-01 1.855358239941757414e+00
8.214651878010940100e-01 2.009296806259686985e+00
9.626376812626580293e-01 2.170502827660917955e+00
1.114904916810439905e+00 2.339810628529767733e+00
1.278346115460099908e+00 2.517385179677101181e+00
1.452843288119350040e+00 2.702169731719641810e+00
1.640099938973889948e+00 2.896519268769027544e+00
1.840293698561600078e+00 3.099847830369203638e+00
2.053338666692190007e+00 3.311684412905187891e+00
2.280160437404960216e+00 3.532977248859024311e+00
2.521359412710880044e+00 3.763907494465562831e+00
2.778246488327130059e+00 4.005247715171210920e+00
3.050530461555370110e+00 4.256334595724438508e+00
3.339050022555670072e+00 4.517585129568179703e+00
3.644587369763970131e+00 4.789286098050937746e+00
3.967922253964680124e+00 5.071660845366539050e+00
4.310300986579419735e+00 5.365277011961677722e+00
4.671799126988200435e+00 5.669646356132063580e+00
5.053179188826420365e+00 5.984875354453139451e+00
5.053179188826420365e+00 5.984875354453139451e+00
5.433355926641779909e+00 6.293486900941453577e+00
5.804771584548910290e+00 6.589865317870841288e+00
6.168932695558289936e+00 6.875759055685033871e+00
6.528399553431960101e+00 7.153587797386514957e+00
6.883419992743480265e+00 7.423873666777777380e+00
7.235251146607679651e+00 7.687861772352968970e+00
7.586005167117050085e+00 7.947333182637890125e+00
7.936944672027469672e+00 8.203343409890143434e+00
8.288609331962499382e+00 8.456373348339097262e+00
8.643317377793600542e+00 8.708128186095100531e+00
9.002270495321329946e+00 8.959434124890577777e+00
9.366157889020380267e+00 9.210718295292052105e+00
9.737951629300859224e+00 9.463921467607617544e+00
1.011848276317130058e+01 9.719447872116859344e+00
1.050909668495850013e+01 9.977997044917321645e+00
1.091354913035860008e+01 1.024176845441546568e+01
1.133280481712190024e+01 1.051103368924512083e+01
1.176922535619620014e+01 1.078692985321120368e+01
1.222718309082750032e+01 1.107169065668486141e+01
1.270713399895299922e+01 1.136494882696824682e+01
1.319324570818779918e+01 1.165669166409608692e+01
1.369966089059740000e+01 1.195504000945478928e+01
1.422748169806270013e+01 1.225997897652906410e+01
1.477631335957939918e+01 1.257068914838174400e+01
1.534648263896330000e+01 1.288661706167799714e+01
1.593816849779769917e+01 1.320719665716121582e+01
1.655180215611619943e+01 1.353192472176187877e+01
1.718778772257579845e+01 1.386019906545992342e+01
1.784569159626419932e+01 1.419102423767476218e+01
1.852550599735380032e+01 1.452358375898445075e+01
1.922726817771750163e+01 1.485703822252193618e+01
1.995060149272709893e+01 1.519033385233391442e+01
2.069525000833279904e+01 1.552247018320545280e+01
2.146081612850949938e+01 1.585237328482778807e+01
2.224679666212160001e+01 1.617891712080335154e+01
2.305258052781449862e+01 1.650092607987856752e+01
2.387755882488599823e+01 1.681727884237747972e+01
2.472098380846970045e+01 1.712694411464923405e+01
2.558168135481970040e+01 1.742897818821989731e+01
2.645845416351960111e+01 1.772270512320086411e+01
2.734990902879840036e+01 1.800753073612819222e+01
2.825465436195020175e+01 1.828291466372029106e+01
2.917123379495890134e+01 1.854835870006915144e+01
3.009813286076400018e+01 1.880345676555147350e+01
3.103378703858459886e+01 1.904783375004690527e+01
3.197659080978850099e+01 1.928113236139899200e+01
3.292490607623749810e+01 1.950310707869380877e+01
3.387707194885940254e+01 1.971353724302306532e+01
3.483141425994679707e+01 1.991223822150043432e+01
3.578625497025090141e+01 2.009912323744791962e+01
3.673992206582519771e+01 2.027412863248650865e+01
3.769299939877679861e+01 2.043760892364841197e+01
3.864524883180259707e+01 2.058977050901433259e+01
3.959477881348740169e+01 2.073053121519143716e+01
4.053985771084239786e+01 2.085990323830209192e+01
4.147879253981719927e+01 2.097796988487187164e+01
4.240994089538349954e+01 2.108484213563328424e+01
4.333172012300280329e+01 2.118069818079434796e+01
4.424262092124010337e+01 2.126575703596451916e+01
4.514124282743969729e+01 2.134029820881184136e+01
4.602619638914929823e+01 2.140461741598061352e+01
4.689622749696260229e+01 2.145904971422134011e+01
4.775017768526679873e+01 2.150396528414255570e+01
4.858698699896149975e+01 2.153975990985648181e+01
4.940571961768210230e+01 2.156685777472333498e+01
5.020551470674399752e+01 2.158571442512258898e+01
5.098563382278290135e+01 2.159680594752292038e+01
5.174544812598679755e+01 2.160061298009809860e+01
5.248440341922199792e+01 2.159764294782858940e+01
5.320208101182340243e+01 2.158841259927323364e+01
5.389815671770109873e+01 2.157340370951959585e+01
5.457237156696879765e+01 2.155313993567314057e+01
5.522458963602390014e+01 2.152810897402947532e+01
5.585477847714359712e+01 2.149875840203318234e+01
5.646292884618330277e+01 2.146557385883653524e+01
5.704910552038359839e+01 2.142895572817906924e+01
5.761357099993460196e+01 2.138932727742972872e+01
5.815644397720839720e+01 2.134711505537795517e+01
5.867805867518669771e+01 2.130262617729117380e+01
5.917883390256240261e+01 2.125623297927670663e+01
5.965890318554890115e+01 2.120831442802646549e+01
6.011903147713090334e+01 2.115912849466474199e+01
6.055930816803429906e+01 2.110900630142744205e+01
6.098057460595499890e+01 2.105818061505189220e+01
6.138301401293200144e+01 2.100696133038481861e+01
6.176748046851569995e+01 2.095556445974634485e+01
6.213420133329500317e+01 2.090426306509090892e+01
6.248409765060750232e+01 2.085320730501840814e+01
6.281730490367790054e+01 2.080266109642751360e+01
6.313492066953430282e+01 2.075268476221742731e+01
6.343691089732529775e+01 2.070343877364444651e+01
6.372438122293049645e+01 2.065499611416231573e+01
6.399765539816699800e+01 2.060757350010250377e+01
6.425721674547729378e+01 2.056115273551745659e+01
6.450398744033880405e+01 2.051574900131175738e+01
6.473797560954000119e+01 2.047165819191127056e+01
6.496007405534980705e+01 2.042868506394697903e+01
6.517095400945770223e+01 2.038696082155967915e+01
6.537058970092610366e+01 2.034653163561206668e+01
6.537058970092610366e+01 2.034653163561206668e+01
6.555483274065940691e+01 2.030839188775500048e+01
6.569720575576489807e+01 2.027839458454253219e+01
6.581373285157809505e+01 2.025346546450349905e+01
6.591342430399780028e+01 2.023188113927671594e+01
6.600229660550959920e+01 2.021242490349442278e+01
6.608452672098930236e+01 2.019424881192338006e+01
6.616316509606940599e+01 2.017669851943904646e+01
6.624077728335049642e+01 2.015922157266324533e+01
6.631966036736679371e+01 2.014129566686461104e+01
6.640252199949659939e+01 2.012228117141919981e+01
6.649257226312610669e+01 2.010140916760371255e+01
6.659401836233099914e+01 2.007765474951882112e+01
6.671312348122179969e+01 2.004953360235758453e+01
6.685972690862119805e+01 2.001462143842156749e+01
6.703533766122720294e+01 1.995683570077756741e+01
6.715188522315500563e+01 1.986148589056991298e+01
6.720410473151430608e+01 1.977930373275197340e+01
6.723154465380119404e+01 1.971005244739279760e+01
6.724593515918580522e+01 1.964888861614263504e+01
6.725162395766480472e+01 1.959528724544507483e+01
6.725191760183129475e+01 1.956355045244708180e+01
6.724552004564469598e+01 1.950559005918021072e+01
6.723107315034989995e+01 1.944970271635944670e+01
6.720556323617189776e+01 1.938968408330531545e+01
6.716726357512729351e+01 1.932827759652205657e+01
6.711700430944219420e+01 1.927098590806505740e+01
6.705390332630679495e+01 1.922048935655807256e+01
6.697737673032300165e+01 1.918180745292545808e+01
6.688616968490239856e+01 1.916185372764728712e+01
6.678283785266499706e+01 1.916279435168255674e+01
6.667268381996190385e+01 1.917516336173508051e+01
6.655682604953069870e+01 1.919031219105206887e+01
6.643378068681789728e+01 1.920593290457424729e+01
6.630239794591419411e+01 1.922197209566619236e+01
6.616193611106290007e+01 1.923840561295430263e+01
6.601143669209460541e+01 1.925521622939038835e+01
6.584917785852199756e+01 1.927244389898145371e+01
6.567425479045670045e+01 1.929000610554227180e+01
6.548510139471029845e+01 1.930785314493434157e+01
6.527948873474710467e+01 1.932594188843529182e+01
6.505517261722930300e+01 1.934415587841802875e+01
6.480971103515629750e+01 1.936239776704212900e+01
6.453942246299649810e+01 1.938050878366663454e+01
6.424058701129459337e+01 1.939820708548166905e+01
6.390821929411559665e+01 1.941512844876491428e+01
6.353620741831520036e+01 1.943080185225703005e+01
6.311691284488340159e+01 1.944451823947938252e+01
6.264059560895599788e+01 1.945530563370048327e+01
6.209454790252460299e+01 1.946170700750750626e+01
6.209454790252460299e+01 1.946170700750750626e+01
6.152519557264670169e+01 1.946202107942312409e+01
6.092965121404650120e+01 1.945590856302720084e+01
6.030737920070019698e+01 1.944281809664049021e+01
5.965801008761970081e+01 1.942236421186791162e+01
5.898109851066470100e+01 1.939409552835059358e+01
5.827631083667780132e+01 1.935752029439652588e+01
5.754340327883389961e+01 1.931223409356869425e+01
5.678223245054370238e+01 1.925781834579430907e+01
5.599275650093510137e+01 1.919386172167238769e+01
5.517512348823809987e+01 1.911998303454426917e+01
5.432944507957729741e+01 1.903581007714982221e+01
5.345600866364029713e+01 1.894100406331835273e+01
5.255524782974460152e+01 1.883523594888427155e+01
5.162773254593420091e+01 1.871824300217162218e+01
5.067479317553979712e+01 1.858988136241648803e+01
4.969833843357260150e+01 1.845008582709809986e+01
4.869889449774129986e+01 1.829869931464445187e+01
4.767713957915039913e+01 1.813552547092288592e+01
4.663390242483050230e+01 1.796045242981318779e+01
4.557015881715229710e+01 1.777337235529329007e+01
4.448702659918919977e+01 1.757421631793089034e+01
4.338575924424049646e+01 1.736295710103397383e+01
4.226773621232980105e+01 1.713959959414743039e+01
4.113445107644459853e+01 1.690418763517860867e+01
3.998758401916970229e+01 1.665680565148345238e+01
3.882880580672060233e+01 1.639755027459940351e+01
3.765983750600290136e+01 1.612653620930580800e+01
3.648597661709389683e+01 1.584475429968392035e+01
3.531233302174219801e+01 1.555326569277890769e+01
3.414042294972900038e+01 1.525230180338940222e+01
3.297253788872900060e+01 1.494229373897369229e+01
3.181103153374469983e+01 1.462370076293872145e+01
3.065822792125059948e+01 1.429698617057604615e+01
2.951620895896270014e+01 1.396254756572134070e+01
2.838723951819070024e+01 1.362082190064758969e+01
2.727332011853599880e+01 1.327216712821541122e+01
2.617644804008979875e+01 1.291704886690552989e+01
2.509868179665319943e+01 1.255607109115226727e+01
2.404185917581170173e+01 1.218989555518200163e+01
2.300759431042940051e+01 1.181923793002632550e+01
2.199758255609690138e+01 1.144497917590497593e+01
2.101294692788950158e+01 1.106790457686326690e+01
