VARIABLES = "x" "y" "z"
ZONE I= 240, J= 1, K= 1, F=POINT
0.066583515 0.018912334 0.000000000 
0.066480027 0.018926135 0.000000000 
0.066381553 0.018938904 0.000000000 
0.066263326 0.018953775 0.000000000 
0.066121375 0.018970977 0.000000000 
0.065950925 0.018990710 0.000000000 
0.065746238 0.019013108 0.000000000 
0.065500428 0.019038183 0.000000000 
0.065205208 0.019065756 0.000000000 
0.064850633 0.019095341 0.000000000 
0.064424769 0.019126004 0.000000000 
0.063913298 0.019156163 0.000000000 
0.063299072 0.019183327 0.000000000 
0.062561561 0.019203767 0.000000000 
0.061740252 0.019212054 0.000000000 
0.060918921 0.019206269 0.000000000 
0.060097782 0.019187492 0.000000000 
0.059277005 0.019156685 0.000000000 
0.058456722 0.019114708 0.000000000 
0.057637037 0.019062334 0.000000000 
0.056818028 0.019000259 0.000000000 
0.055999758 0.018929112 0.000000000 
0.055182271 0.018849464 0.000000000 
0.054365599 0.018761833 0.000000000 
0.053549770 0.018666695 0.000000000 
0.052734794 0.018564482 0.000000000 
0.051920685 0.018455594 0.000000000 
0.051107443 0.018340398 0.000000000 
0.050295069 0.018219232 0.000000000 
0.049483558 0.018092413 0.000000000 
0.048672903 0.017960230 0.000000000 
0.047863095 0.017822958 0.000000000 
0.047054122 0.017680849 0.000000000 
0.046245969 0.017534143 0.000000000 
0.045438622 0.017383063 0.000000000 
0.044632066 0.017227821 0.000000000 
0.043826282 0.017068616 0.000000000 
0.043021252 0.016905638 0.000000000 
0.042216958 0.016739069 0.000000000 
0.041413380 0.016569080 0.000000000 
0.040610497 0.016395838 0.000000000 
0.039808288 0.016219503 0.000000000 
0.039006729 0.016040228 0.000000000 
0.038205799 0.015858167 0.000000000 
0.037405474 0.015673466 0.000000000 
0.036605730 0.015486271 0.000000000 
0.035806537 0.015296726 0.000000000 
0.035007876 0.015104961 0.000000000 
0.034209783 0.014910840 0.000000000 
0.033412356 0.014714003 0.000000000 
0.032615700 0.014514070 0.000000000 
0.031819926 0.014310656 0.000000000 
0.031025152 0.014103369 0.000000000 
0.030231503 0.013891819 0.000000000 
0.029439107 0.013675617 0.000000000 
0.028648104 0.013454381 0.000000000 
0.027858632 0.013227739 0.000000000 
0.027070838 0.012995335 0.000000000 
0.026284870 0.012756828 0.000000000 
0.025500878 0.012511905 0.000000000 
0.024719013 0.012260273 0.000000000 
0.023939426 0.012001674 0.000000000 
0.023162263 0.011735878 0.000000000 
0.022387667 0.011462689 0.000000000 
0.021615786 0.011181927 0.000000000 
0.020846758 0.010893439 0.000000000 
0.020080709 0.010597132 0.000000000 
0.019317744 0.010292968 0.000000000 
0.018557955 0.009980966 0.000000000 
0.017801402 0.009661190 0.000000000 
0.017048135 0.009333748 0.000000000 
0.016298190 0.008998768 0.000000000 
0.015551599 0.008656374 0.000000000 
0.014808395 0.008306689 0.000000000 
0.014068609 0.007949831 0.000000000 
0.013332273 0.007585915 0.000000000 
0.012599407 0.007215053 0.000000000 
0.011870041 0.006837359 0.000000000 
0.011144167 0.006452992 0.000000000 
0.010421758 0.006062151 0.000000000 
0.009702776 0.005665037 0.000000000 
0.008987184 0.005261856 0.000000000 
0.008274928 0.004852806 0.000000000 
0.007565956 0.004438089 0.000000000 
0.006860210 0.004017903 0.000000000 
0.006157632 0.003592443 0.000000000 
0.005458154 0.003161900 0.000000000 
0.004761715 0.002726465 0.000000000 
